뉴스 식별자,일자,언론사,기고자,제목,통합 분류1,통합 분류2,통합 분류3,사건/사고 분류1,사건/사고 분류2,사건/사고 분류3,인물,위치,기관,키워드,특성추출(가중치순 상위 50개),본문,URL,분석제외 여부
02100501.20190925180649002,20190925,파이낸셜뉴스,파이낸셜뉴스,"""탈원전 정책 반대"" 원자력업계 통합 노조 출범",정치>정치일반, 사회>노동_복지, 사회>미디어,,,,,,"신한울,청와대,한국수력원자력노조,원자력 노동조합연대","반대,탈원전,정책,원자력업,통합,노조,출범,사랑채,청와대,사랑채,원자력,노동조합,연대,출범,회견,원전산업,노동자,구호,한국수력원자력노조,한전원자력연로,한국전력기술,노조원,구성,원자력,노조,연대,회원,해결,고용,불안,4호기,신한울,호기,건설,재개,에너지,정책,공론화,요구","원자력,신한울,원전산업,사랑채,한국수력원자력노조,한전원자력연로,한국전력기술,노동자,노조원,공론화,탈원전,청와대,원자력업,노동조합,출범,정책,연대,노조,건설,고용,불안,재개,통합,공론,구호,반대,해결,구성,호기","24일 청와대 사랑채 앞에서 열린 원자력 노동조합연대 출범 기자회견에서 원전산업 노동자들이 구호를 외치고 있다. 한국수력원자력노조를 비롯, 한전원자력연로, 한국전력기술 노조원 등으로 구성된 원자력 노조 연대 회원들은 고용 불안 해결, 신한울 3 4호기 건설 재개, 에너지 정책에 대한 공론화 등을 요구했다.
 

 
사진=김범석 기자",http://www.fnnews.com/news/201909241803236107,
07101201.20190924185134001,20190924,디지털타임스,김승룡,"""脫원전에 원전산업 붕괴"" 원자력업계 통합노조 출범",사회>노동_복지,,,사고>산업사고>붕괴,,,,"신한울,대정,脫,원천,월성,파산","원노련,코센,한국전력기술,정부,한국원자력연구원,청와대,한전원자력연료,LHE,신한울,한국수력원자력","원전,원전산업,붕괴,출범,원자력업,통합,노조,한수원,한국전력기술,6곳,4호기,신한울,호기,건설,재개,대정부,투쟁,결의,원자력업,노동조합,정부,탈원전,정책,반대,신한울,원자력,발전,3,,건설,재개,요구,통합노조,출범,한국수력원자력,한국전력기술,한국원자력연구원,한전원자력연료,코센,LHE,6개,노조,분수광장,청와대,분수,광장,원자력노조연대,원노련,창립,기자회견,탈원전,정책,대정부,투쟁,원노련,국민,합의,추진,일방,정책,사회,갈등,국민,분열,정부,방치,경제,발전,원천,원자력,산업,황폐화,주장,비합리적,고리,월성,조기,폐쇄,각종,규제,원전,이용,비용,재생,에너지,구매,보조금,증가,상황,원전,원전,기업,파산,지역,경제,침체,노동자,구조,조정,불발,원전,수출,전력,공기업,만성,적자,상황,주장,원노련,정부,원자력,산업,붕괴,원전,노동자,고용,불안,대책,제시,요구,신한울,재개,원전,정책,공론화,주장,원노련,국가경제,국민,영향,에너지,정책,정치,논리,구호,기간,검토,국민,합의,선행,주장,원전산업,주체,원전산업,붕괴,파괴,전력,산업,공공,묵과,원자력산업,수출,증진,경쟁력,원자력,국가,유지,강화,대정부,투쟁","원자력,신한울,원노련,노동자,한국전력기술,원전산업,통합노조,월성,청와대,탈원전,원자력업,노동조합,코센,한전원자력연료,분수광장","원자력업계 노동조합이 정부의 '탈원전' 정책에 반대하고, 신한울 원자력발전소 3, 4호기 건설 재개를 요구하며 통합노조를 출범했다.



한국수력원자력, 한국전력기술, 한국원자력연구원, 한전원자력연료, 코센, LHE 등 6개사 각 노조는 24일 청와대 분수광장 앞에서 '원자력노조연대(원노련) 창립' 기자회견을 열고 탈원전 정책에 맞서 대정부 투쟁에 나설..",http://www.dt.co.kr/contents.html?article_no=2019092502100658614003&ref=jeadan,
08200101.20190924184939001,20190924,OBS,유재명,"""탈원전 정책 반대"" 원자력 업계 통합 노조 출범",사회>노동_복지, 사회>미디어, 정치>청와대,사회>사회갈등>시위,,,,"신한울,대정","코센,정부,한국전력기술,한국원자력연구원,청와대,한전원자력연료,LHE,원자력노조연대,신한울,한국수력원자력","반대,탈원전,정책,출범,원자력,업계,통합,노조,원자력업,노동조합,정부,탈원전,정책,반대,신한울,원자력,발전,3,,건설,재개,요구,통합,노조,출범,한국수력원자력,한국전력기술,한국원자력연구원,한전원자력연료,코센,LHE,노조,원자력업,24일,청와대,분수,광장,원자력,노조,연대,창립,기자회견,탈원전,정책,대정부,투쟁,선언,정책,원자력,노조,연대,국정,감사,기간,탈원전,철회,신한울,촉구,시위,투쟁,진행,계획","신한울,원자력,탈원전,청와대,노동조합,원자력업,코센,한전원자력연료,한국원자력연구원,한국전력기술,한국수력원자력,기자회견,lhe,노조,건설,투쟁,창립,정책,시위,기간,통합,연대,재개,출범,반대,진행,분수,감사,광장,국정,촉구,선언,회견","원자력업계 노동조합이 정부의 탈원전 정책에 반대하고 신한울 원자력발전소 3, 4호기 건설 재개를 요구하며 통합 노조를 출범했습니다. 

한국수력원자력, 한국전력기술, 한국원자력연구원, 한전원자력연료, 코센, LHE 등 6개 원자력업계 노조는 오늘(24일) 청와대 분수광장 앞에서 '원자력노조연대 창립' 기자회견을 열고 탈원전 정책에 맞서 대정부 투쟁에 나..",http://www.obsnews.co.kr/news/articleView.html?idxno=1179096,
02100601.20190924174512002,20190924,한국경제,허문찬(sweat@hankyung.com),원자력 5社 노조 연대 “신한울 3 4호기 건설 재개하라”,사회>노동_복지, 정치>정치일반,,,,,,"서울,효자동","정부,한국원자력연구원,청와대,한전원자력연료,한국전력기술 노조원,신한울,원자력 노동조합,한국수력원자력","원자력,4호기,노조,연대,신한울,호기,건설,재개,사랑채,서울,효자동,청와대,사랑채,기자회견,원자력,노동조합,연대,출범,회견,원전산업,노동자,정부,에너지,정책,비판,구호,한국수력원자력,한국원자력연구원,한전원자력연료,한국전력기술,노조원,구성,연대,원자력,노조,해결,고용,불안,4호기,신한울,호기,건설,재개,요구","원자력,신한울,원전산업,서울,사랑채,한국수력원자력,한국원자력연구원,한전원자력연료,한국전력기술,노조원,노동자,효자동,청와대,기자회견,노동조합,재개,노조,연대,정부,건설,출범,불안,고용,구호,비판,정책,에너지,회견,구성,해결,호기,요구","24일 서울 효자동 청와대 사랑채 앞에서 열린 원자력 노동조합 연대 출범 기자회견에서 원전산업 노동자들이 정부 에너지정책을 비판하는 구호를 외치고 있다. 한국수력원자력 한국원자력연구원 한전원자력연료 한국전력기술 노조원 등으로 구성된 원자력 노조 연대는 고용 불안 해결, 신한울 3 4호기 건설 재개 등을 요구했다. 
 
허문찬 기자 sweat@hankyu..",https://www.hankyung.com/society/article/2019092413391,
08100401.20190924161402002,20190924,YTN,백종규,"원자력 통합노조 출범...""탈원전 정책 반대""",사회>노동_복지, 정치>정치일반,,사고>산업사고>붕괴, 사회>사회갈등>시위,,,"월성,파산","원자력노조연대,신한울,정부,한국원자력,청와대,한국수력원자력","출범,원자력,통합,노조,탈원전,정책,반대,노동조합,원자력,업계,정부,탈원전,정책,반대,발전소,재개,신한울,원자력,발전소,3,,건설,요구,통합,노조,출범,한국수력원자력,한국전력기술,한국원자력,연구원,원료,한전,원자력,코센,원자력,업계,노조,청와대,분수,광장,원자력노조연대,창립,회견,원자력노조연대,정부,국민,합의,정책,추진,사회,갈등,국민,분열,방치,원자력,산업,주장,고리,월성,조기,폐쇄,각종,규제,원전,이용,비용,재생,에너지,구매,보조금,증가,상황,원전,원전,기업,파산,전력공기업,만성적자,정부,원자력,산업,붕괴,노동자,원전,종사,고용,불안,대책,제시,신한울,재개,촉구,원자력노조연대,국정,감사,기간,탈원전,정책,철회,신한울,촉구,시위,투쟁,진행,방침","원자력,신한울,청와대,원자력노조연대,탈원전,월성,한전,발전소,공기업,만성적자,한국원자력,한국전력기술,전력공기업,보조금,연구원,한국수력원자력,노동자","원자력 업계 노동조합이 정부의 탈원전 정책에 반대하고 신한울 원자력 발전소 3, 4호기 건설 재개를 요구하며 통합 노조를 출범했습니다.

한국수력원자력과 한국전력기술, 한국원자력 연구원, 한전 원자력 원료, 코센 등 6개 원자력 업계 노조는 청와대 분수광장 앞에서 '원자력노조연대' 창립 기자회견을 열었습니다.

원자력노조연대는 정부가 국민적 합의가 없는..",https://www.ytn.co.kr/_ln/0102_201909241612192500,
07101201.20190924154120002,20190924,디지털타임스,김승룡,"""탈원전에 원전산업 붕괴"" 한수원.한전기술 등 6개사 통합노조 `원노련` 출범",사회>노동_복지,,,사고>산업사고>붕괴,,,,"신한울,대정,원천,월성,파산","원노련,정부,한국원자력연구원,청와대,한수원.,한전원자력연료,LHE,한전기술,신한울,한국수력원자력","탈원전,원전산업,붕괴,한수원,한전기술,6개,통합,노조,원노련,출범,원자력업,노동조합,정부,탈원전,정책,반대,신한울,원자력,발전,3,,건설,재개,요구,통합노조,출범,한국수력원자력,한국전력기술,한국원자력연구원,한전원자력연료,코센,LHE,6개,노조,분수광장,청와대,분수,광장,원자력노조연대,원노련,창립,기자회견,탈원전,정책,대정부,투쟁,원노련,국민,합의,추진,일방,정책,사회,갈등,국민,분열,정부,방치,경제,발전,원천,원자력,산업,황폐화,주장,비합리적,고리,월성,조기,폐쇄,각종,규제,원전,이용,비용,재생,에너지,구매,보조금,증가,상황,원전,원전,기업,파산,지역,경제,침체,노동자,구조,조정,불발,원전,수출,전력,공기업,만성,적자,상황,주장,원노련,정부,원자력,산업,붕괴,원전,노동자,고용,불안,대책,제시,요구,신한울,재개,원전,정책,공론화,주장,원노련,국가경제,국민,영향,에너지,정책,정치,논리,구호,기간,검토,국민,합의,선행,주장,원전산업,주체,원전산업,붕괴,파괴,전력,산업,공공,묵과,원자력산업,수출,증진,경쟁력,원자력,국가,유지,강화,대정부,투쟁","원자력,원노련,신한울,노동자,6개,원전산업,탈원전,통합노조,월성,청와대,노동조합,코센,한전원자력연료,한국원자력연구원,한국전력기술,분수광장,기자회견,묵과","원자력업계 노동조합이 정부의 '탈원전' 정책에 반대하고, 신한울 원자력발전소 3, 4호기 건설 재개를 요구하며 통합노조를 출범했다.



한국수력원자력, 한국전력기술, 한국원자력연구원, 한전원자력연료, 코센, LHE 등 6개사 각 노조는 24일 청와대 분수광장 앞에서 '원자력노조연대(원노련) 창립' 기자회견을 열고 탈원전 정책에 맞서 대정부 투쟁에 나설..",http://www.dt.co.kr/contents.html?article_no=2019092402109958614010&ref=jeadan,중복
01500701.20190924153224001,20190924,부산일보,송현수,"""탈원전 정책 반대"" 원자력업계 통합 노조 출범",사회>사회일반, 정치>정치일반,,사고>산업사고>붕괴, 사회>사회갈등>시위,,,"종로구,대정,서울,원천,월성,신한울,파산","원노련,코센,정부,한국전력기술,한국원자력연구원,청와대,한전원자력연료,연합뉴스,LHE,신한울,원자력노동조합연대,한국수력원자력","반대,탈원전,정책,원자력업,통합,노조,출범,4호기,촉구,신한울,호기,건설,재개,국감,시위,기간,예고,24일,서울,종로구,청와대,사랑채,기자회견,원자력노동조합연대,출범,회견,원전산업,노동자,구호,원자력업,노동조합,정부,탈원전,정책,에너지전환정책,반대,3,재개,신한울,원자력,발전소,호기,건설,요구,통합,노조,출범,한국수력원자력,한국전력기술,한국원자력연구원,한전원자력연료,코센,LHE,원자력업,노조,분수광장,청와대,분수,광장,원자력노조연대,원노련,창립,기자회견,탈원전,정책,대정부,투쟁,선언,원노련,정부,국민,합의,추진,일방,정책,사회,갈등,국민,분열,방치,국가,경제,발전,원천,원자력,산업,황폐화,지적,비합리적,고리,월성,조기,폐쇄,각종,규제,원전,이용,비용,재생,에너지,구매,보조금,증가,상황,원전,원전,기업,파산,지역,경제,침체,노동자,구조,조정,불발,원전,수출,전력,공기업,만성,적자,상황,주장,원노련,원전산업,주체,원전산업,붕괴,파괴,전력,산업,공공,묵과,원자력산업,수출,증진,경쟁력,원자력,국가,유지,강화,대정부,투쟁,원노련,국정,감사,기간,탈원전,정책,철회,4호기,신한울,호기,건설,재개,촉구,시위,투쟁,진행,방침","원자력,신한울,원노련,원전산업,청와대,노동자,탈원전,원자력업,기자회견,월성,서울,사랑채,원자력노동조합연대,노동조합","24일 오후 서울 종로구 청와대 사랑채 앞에서 열린 ‘원자력노동조합연대 출범 기자회견’에서 원전산업 노동자들이 구호를 외치고 있다. 연합뉴스



 원자력업계 노동조합이 정부의 탈원전 정책(에너지전환정책)에 반대하고 신한울 원자력발전소 3 4호기 건설 재개를 요구하며 통합 노조를 출범시켰다. 
 
 한국수력원자력, 한국전력기술, 한국원자력연구원, 한전원..",http://www.busan.com/view/busan/view.php?code=2019092413531222580,
02100501.20190924153039002,20190924,파이낸셜뉴스,김범석,"""탈원전 정책 반대"" 원자력업계 통합 노조 출범",사회>노동_복지, 정치>정치일반,,,,,,,"한국원자력연구원,청와대,한전원자력연료,한국전력기술 노조원,신한울,원자력 노동조합,한국수력원자력","반대,탈원전,정책,원자력업,통합,노조,출범,사랑채,청와대,사랑채,기자회견,원자력,노동조합,연대,출범,회견,노동자들,원전,산업,노동자,구호,한국수력원자력,노조,한국원자력연구원,한전원자력연료,한국전력기술,노조원,구성,원자력,노조,연대,회원,기자회견,노동자들,원전,산업,노동자,고용,불안,해결,신한울,에너지,정책,공론화,요구,사랑채,청와대,사랑채,기자회견,원자력,노동조합,연대,출범,회견,노동자들,원전,산업,노동자,구호,한국수력원자력,노조,한국원자력연구원,한전원자력연료,한국전력기술,노조원,구성,원자력,노조,연대,회원,기자회견,노동자들,원전,산업,노동자,고용,불안,해결,신한울,에너지,정책,공론화,요구,사진","원자력,신한울,기자회견,노동자,사랑채,한국전력기술,노조원,한전원자력연료,공론화,탈원전,노동자들,한국원자력연구원,한국수력원자력,청와대,원자력업,노동조합,출범,노조,정책,연대,해결,건설,요구,산업,원전,통합,회견,공론,구호,불안,고용,반대","24일 청와대 사랑채 앞에서 열린 원자력 노동조합 연대 출범 기자회견에서 원전 산업 노동자들이 구호를 외치고 있다. 한국수력원자력 노조를 비롯해 한국원자력연구원,한전원자력연료,한국전력기술 노조원 등으로 구성된 원자력 노조 연대 회원들은 기자회견을 통해 원전 산업 노동자들의 고용불안 해결, 신한울 3, 4호기 건설 재개, 에너지 정책에 대한 공론화 등을 ..",http://www.fnnews.com/news/201909241529213438,
02100501.20190924153039001,20190924,파이낸셜뉴스,김범석,"원자력업계 통합 노조 출범,'탈원전 반대'",사회>노동_복지, 정치>정치일반,,,,,,,"한국원자력연구원,청와대,한전원자력연료,한국전력기술 노조원,신한울,원자력 노동조합,한국수력원자력","원자력업,통합,노조,출범,탈원전,반대,사랑채,청와대,사랑채,기자회견,원자력,노동조합,연대,출범,회견,노동자들,원전,산업,노동자,구호,한국수력원자력,노조,한국원자력연구원,한전원자력연료,한국전력기술,노조원,구성,원자력,노조,연대,회원,기자회견,노동자들,원전,산업,노동자,고용,불안,해결,신한울,에너지,정책,공론화,요구,사랑채,청와대,사랑채,기자회견,원자력,노동조합,연대,출범,회견,노동자들,원전,산업,노동자,구호,한국수력원자력,노조,한국원자력연구원,한전원자력연료,한국전력기술,노조원,구성,원자력,노조,연대,회원,기자회견,노동자들,원전,산업,노동자,고용,불안,해결,신한울,에너지,정책,공론화,요구,사진","원자력,신한울,기자회견,노동자,사랑채,공론화,한국전력기술,노조원,한전원자력연료,노동자들,청와대,한국원자력연구원,한국수력원자력,탈원전,원자력업,노동조합,출범,노조,연대,건설,해결,요구,산업,원전,통합,회견,정책,공론,에너지,구호,불안,고용,반대,구성","24일 청와대 사랑채 앞에서 열린 원자력 노동조합 연대 출범 기자회견에서 원전 산업 노동자들이 구호를 외치고 있다. 한국수력원자력 노조를 비롯해 한국원자력연구원,한전원자력연료,한국전력기술 노조원 등으로 구성된 원자력 노조 연대 회원들은 기자회견을 통해 원전 산업 노동자들의 고용불안 해결, 신한울 3, 4호기 건설 재개, 에너지 정책에 대한 공론화 등을 ..",http://www.fnnews.com/news/201909241529157681,중복
02100501.20190924153037001,20190924,파이낸셜뉴스,김범석,원자력업계 통합 노조 출범,사회>노동_복지, 정치>정치일반,,,,,,,"한국원자력연구원,청와대,한전원자력연료,한국전력기술 노조원,신한울,원자력 노동조합,한국수력원자력","원자력업,통합,노조,출범,사랑채,청와대,사랑채,기자회견,원자력,노동조합,연대,출범,회견,노동자들,원전,산업,노동자,구호,한국수력원자력,노조,한국원자력연구원,한전원자력연료,한국전력기술,노조원,구성,원자력,노조,연대,회원,기자회견,노동자들,원전,산업,노동자,고용,불안,해결,신한울,에너지,정책,공론화,요구,사랑채,청와대,사랑채,기자회견,원자력,노동조합,연대,출범,회견,노동자들,원전,산업,노동자,구호,한국수력원자력,노조,한국원자력연구원,한전원자력연료,한국전력기술,노조원,구성,원자력,노조,연대,회원,기자회견,노동자들,원전,산업,노동자,고용,불안,해결,신한울,에너지,정책,공론화,요구,사진","원자력,신한울,기자회견,노동자,사랑채,공론화,한국전력기술,노조원,한전원자력연료,노동자들,한국원자력연구원,한국수력원자력,청와대,원자력업,노동조합,출범,노조,연대,건설,해결,요구,산업,원전,통합,회견,정책,공론,에너지,구호,불안,고용,구성,재개,회원","24일 청와대 사랑채 앞에서 열린 원자력 노동조합 연대 출범 기자회견에서 원전 산업 노동자들이 구호를 외치고 있다. 한국수력원자력 노조를 비롯해 한국원자력연구원,한전원자력연료,한국전력기술 노조원 등으로 구성된 원자력 노조 연대 회원들은 기자회견을 통해 원전 산업 노동자들의 고용불안 해결, 신한울 3, 4호기 건설 재개, 에너지 정책에 대한 공론화 등을 ..",http://www.fnnews.com/news/201909241529058173,중복
01100801.20190924150319001,20190924,조선일보,"권오은 기자
권오은 기자  우연수 인턴기자(서울시립대 중어중문학과 졸업)·서영일 인턴기자(경희대 언론정보학과 졸업)","원전 6개社, 노조 연대 결성 ‘대정부 투쟁’ 나서 “일방통행식 탈원전으로 원전 산업 붕괴”",사회>사회일반,,,사회>사회갈등>시위,,,신한울,"파산,대정","원노련,정부,한국원자력연구원,청와대,원자력 노동조합 연대,LHE,한국전력원자력연료,한국수력원자력","원전,투쟁,노조,연대,결성,대정부,일방통행식,탈원전,붕괴,원전,산업,정부,원전,정책,반대,원자력발전,연대,협의체,결성,대정부,투쟁,연대,원자력,노동조합,원노련,광장,청와대,분수대,기자회견,탈원전,불안,위험,정책,3,신한울,원전,호기,건설,재개,정부,에너지,정책,공론화,요구,원노련,한국수력원자력,한국전력기술,한국원자력연구원,한국전력원자력연료,코센,LHE,원전,업체,노조,참여,원전,원전,업체,노조,추가,합류,예정,노조,연대체,결성,문재인,정부,추진,탈원전,정책,자체,원전,산업,붕괴,위기감,원전,기업,원전,파산,노동자,구조,조정,생존권,위협,이날,원노련,문재인,정부,주장,노동,존중,나라,원노련,기자회견문,정부,일방적,불안,에너지,정책,대응,탈원전,문제점,점검,에너지,정책,안정적,지속,연대,원자력,노조,결성,원노련,원자력,산업,붕괴,60년,피땀,축적,해체,의미,검토,공론화,결정,탈원전,정책,수준,세계,최고,사장,국력,손실,정책,그동안,정부,한우물,원전,보조,기기,제작,중소기업들,정부,변심,파산,위기,대기업,두산중공업,순환,휴직,노동자들,고용안정,불안,일관성,정부,정책,만큼,정부,대책,제시,원노련,4호기,건설,신한울,호기,10년,검토,공론화,추진,사업,부지조성,기기,제작,착수,상태,탈원전,한마디,일방적,건설,중지,정권,구호,10년,검토,결정,사안,한마디,정부,홍보,원전,해외,수출,유지,4호기,신한울,호기,공사,재개,원노련,일방통행식,정책,추진,부작용,정부,구호,허상,현실,국민,현실,목소리,원노련,기자회견,청와대,신한울,원전,공사,재개,촉구,요구문,전달,국정,감사,기간,탈원전,정책,철회,4호기,신한울,호기,건설,재개,촉구,시위,진행,계획","원노련,탈원전,신한울,원자력,노동자,청와대,한마디,노동조합,일방통행식,기자회견","정부의 탈(脫)원전 정책에 반대하는 원자력발전 관련 업체 6개 회사 노동조합이 연대 협의체를 결성하고, 대정부 투쟁에 나서기로 했다. 
 
‘원자력 노동조합 연대(원노련)’는 24일 청와대 앞 분수대 광장에서 기자회견을 열고 ""탈원전은 불안하고 위험한 정책""이라며 ""신한울 원전 3 4호기 건설을 즉각 재개하고, 정부의 에너지 정책에 대한 공론화를 요구한..",http://news.chosun.com/site/data/html_dir/2019/09/24/2019092401665.html?utm_source=bigkinds&utm_medium=original&utm_campaign=news,
02100851.20190924145624001,20190924,아주경제,노승길,"?원자력 업계 통합 노조 출범 ""탈원전 정책 반대""",정치>정치일반, 사회>노동_복지,,사고>산업사고>붕괴, 사회>사회갈등>시위,,,"종로구,대정,원천,서울,월성,파산","원노련,정부,한국원자력연구원,청와대,한전원자력연료,LHE,신한울,한국수력원자력,원자력 노동조합","출범,원자력,업계,통합,노조,탈원전,정책,반대,신한울,노동조합,원자력업,통합,출범,정부,탈원전,정책,반대,발전소,재개,신한울,원자력,발전소,3,,건설,요구,한국수력원자력,한국전력기술,한국원자력연구원,한전원자력연료,코센,LHE,업계,원자력,노조,분수광장,청와대,분수,광장,원자력,노조,연대,원노련,창립,기자회견,원노련,정부,국민,합의,추진,일방,정책,사회,갈등,국민,분열,방치,발전,국가,경제,원천,원자력,산업,황폐화,주장,비합리적,고리,월성,조기,폐쇄,각종,규제,원전,이용,비용,재생,에너지,구매,보조금,증가,상황,원전,원전,기업,파산,지역,경제,침체,노동자,구조,조정,불발,원전,수출,전력,공기업,만성,적자,상황,지적,원노련,정부,원자력,산업,붕괴,노동자,원전,종사,고용,불안,대책,제시,요구,신한울,재개,원전,정책,공론화,촉구,원노련,원전산업,주체,원전산업,붕괴,파괴,전력,산업,공공,묵과,원자력산업,수출,증진,경쟁력,원자력,국가,유지,강화,대정부,투쟁,원노련,국정,감사,기간,탈원전,정책,철회,신한울,촉구,시위,투쟁,진행,방침,사랑채,서울,종로구,청와대,사랑채,기자회견,원자력,노동조합,연대,출범,회견,노동자들,원전,산업,노동자,구호","원자력,원노련,신한울,노동자,청와대,노동조합,탈원전,기자회견,월성,서울,원전산업,사랑채,발전소","원자력업계 통합 노동조합이 출범했다. 이들은 정부의 탈원전 정책에 반대하고 신한울 원자력 발전소 3, 4호기 건설 재개를 요구했다. 
 
한국수력원자력, 한국전력기술, 한국원자력연구원, 한전원자력연료, 코센, LHE 등 6개 원자력 업계의 각 노조는 24일 청와대 분수광장 앞에서 '원자력노조 연대(원노련) 창립' 기자회견을 열었다. 
 
원노련은 이날 ..",http://www.ajunews.com/view/20190924143558086,
02100701.20190924135540002,20190924,헤럴드경제,배문숙 기자,"‘탈원전 반대’ 6개 원자력업계 통합 노조 출범 신한울 3, 4호기 건설 재개 촉구",정치>정치일반, 사회>노동_복지,,사고>산업사고>붕괴, 사회>사회갈등>시위,,,"대정,원천,월성,파산","원노련,코센,정부,한국전력기술,한국원자력연구원,청와대,한전원자력연료,LHE,신한울,한국수력원자력","탈원전,반대,출범,원자력업,통합,노조,신한울,촉구,3,,건설,재개,헤럴드,DB,원자력업,노동조합,문재인,정부,탈원전,정책,반대,신한울,원자력,발전,3,,건설,재개,요구,통합,노조,출범,한국수력원자력,한국전력기술,한국원자력연구원,한전원자력연료,코센,LHE,원자력업,노조,분수광장,청와대,분수,광장,원자력노조연대,원노련,창립,기자회견,탈원전,정책,대정부,투쟁,선언,원노련,정부,국민,합의,추진,일방,정책,사회,갈등,국민,분열,방치,국가,경제,발전,원천,원자력,산업,황폐화,지적,원노련,비합리적,고리,월성,조기,폐쇄,각종,규제,원전,이용,비용,재생,에너지,구매,보조금,증가,상황,원전,원전,기업,파산,지역,경제,침체,노동자,구조,조정,불발,원전,수출,전력,공기업,만성,적자,상황,주장,원노련,원전산업,주체,원전산업,붕괴,파괴,전력,산업,공공,묵과,원자력산업,수출,증진,경쟁력,원자력,국가,유지,강화,대정부,투쟁,원노련,국정,감사,기간,탈원전,정책,철회,신한울,촉구,시위,투쟁,진행,방침","원자력,원노련,신한울,탈원전,원자력업,월성,노동자,청와대,원전산업,헤럴드,노동조합,코센,한전원자력연료,한국원자력연구원,한국전력기술,분수광장","［헤럴드 DB］ [헤럴드경제=배문숙 기자]원자력업계 노동조합이 문재인 정부의 탈원전 정책에 반대하고 신한울 원자력발전소 3, 4호기 건설 재개를 요구하며 통합 노조를 출범했다. 
 
 한국수력원자력, 한국전력기술, 한국원자력연구원, 한전원자력연료, 코센, LHE 등 6개 원자력업계 각 노조는 24일 청와대 분수광장 앞에서 '원자력노조연대(원노련) 창립'..",http://biz.heraldcorp.com/view.php?ud=20190924000661,
02100311.20190924094133001,20190924,서울경제,뉴스봇,"<유>한전기술, 매수잔량 561% 급증",경제>증권_증시, 경제>유통, 경제>부동산,,,,,,,"한전기술,급증,매수,잔량,561%,한전기술,매수잔량,14,564주,1분,급증,매수,잔량,대비,561%,거래대금,32억,713만,거래량,13만,220주,거래량회전율,0.34%,시각,한전기술,전일,동일,24,450원,거래,매도,매수,매수우위,기록","매수잔량,한전기술,거래량,203주,220주,32억,거래량회전율,13만,713만,거래대금,한전,매수우위,매수,거래,잔량,대비,급증,동일,우위,회전,대금,시각,전일,매도,기록","오전 9시 40분 현재 한전기술(052690)의 매수잔량이 14,564주로 1분전 매수잔량 2,203주 대비 561% 급증했다. 거래대금은 32억2,713만이며 거래량은 13만1,220주로 거래량회전율은 0.34%로 나타났다. 
 
 
 
 
이 시각 현재 한전기술은 전일과 동일한 24,450원에 거래되고 있으며, 45(매도):55(매수)의 매수우위를 ..",http://www.sedaily.com/NewsView/1VODC7750B,예외
02100801.20190924093515003,20190924,아시아경제,이광호,美 인증받은 한국형 원전 한국기술 설계력 '원더풀',경제>경제일반,,,,,,,"UAE,미국,한국,바라카,아랍에미리트,美","바라카 원전,나와에너지,원자력규제위원회,한국전력기술,정부,한국전력공사,UAE,한전기술,한국표준원전,NRC,한국수력원자력","인증,한국,원전,한국기술,설계력,원더풀,원전,한국,APR1400,미국,원자력,규제,위원회,NRC,설계인증,DCㆍ,Design,Certification,계기,한국전력기술,조명,24일,업계,APR1400,1992년,10년,한국전력공사,한국수력원자력,한국전력기술,2300억,모델,차세대,원전,한전기술,설계,인증,취득,원자로,계통,설계,종합,설계,작성,문서,중추적,역할,수행,한전기술,한국표준원전,OPR1000,설계기술,안전성,경제성,향상,APR1400,설계,발전,운영,건설중,원전,31기,한전기술,설계,APR1400,아랍에미리트,UAE,수출,원전,동일,노형,신고리3,4호기,노형,상업운전중,신고리,1주기,389일,운전,달성,한전기술,UAE,바라카,Barakah,원전,종합,설계,원자로계통설계,수행,운영사,UAE,바라카,원전,나와에너지,Nawah,Energy,용역,가동원전,장기엔지니어링,LTEA,계약,체결,한전기술,준공,UAE,바라카,원전,호기,최소,원전,운영,설계변경,개선,엔지니어링,프로그램,지원,업무,수행,한전기술,원전해체,사용후핵연료,원전사후관리분야,지속적,추진,2월,영구정지,고리1호기,해체,종합,설계,용역,수주,고리,호기,해체,사업,성공,수행,원전,해체,노하우,축적,진출,해외,시장,역량,집중,계획,미국,NRC,APR1400,원전,설계인증,최종,부여,설계인증,미국,정부,APR1400,미국내,건설,운영,허가,안전,확인,증명서,한국,원전,미국,수출,건설,부지,특성,안전성,추가,통과,인증,15년,유효,연장,최대","미국,한전기술,apr1400,uae,설계인증,한국,신고리,한국전력기술,노형,고리1호기,원자로,바라카,원전해체,가동원전,장기엔지니어링,차세대,안전성","[아시아경제 이광호 기자]지난 8월 한국형 원전인 'APR1400'이 미국 원자력규제위원회(NRC)로부터 설계인증(DCㆍ Design Certification)을 받은 것을 계기로 한국전력기술의 기술력이 조명받고 있다. 
 
24일 관련 업계에 따르면 APR1400은 1992년부터 10년간 한국전력공사, 한국수력원자력, 한국전력기술 등이 2300억원을 ..",http:www.asiae.co.kr/article/2019092409322215178,
